INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002650;AQA;"A1 01 A12 01";INV_GEN;"Inventaire test";012655;;1;0;1;UN;N
002650;AQA;"A1 01 A13 01";INV_GEN;"Inventaire test";012656;;2;0;2;UN;N
002650;AQA;"A1 01 B02 01";INV_GEN;"Inventaire test";008229;;12;10;12;RL(X);N
002650;AQA;"A1 01 A03 03";INV_GEN;"Inventaire test";008229;;0;10;0;RL(X);N
002650;AQA;"A1 01 B05 03";INV_GEN;"Inventaire test";009247;;0;2.493;0;M2;N
002650;AQA;"A1 01 B05 02";INV_GEN;"Inventaire test";009247;;0;2.493;0;M2;N
002650;AQA;"A1 01 B06 01";INV_GEN;"Inventaire test";006700;;32;2.493;32;M2;N
002650;AQA;"A1 01 B06 02";INV_GEN;"Inventaire test";007356;;0;2.493;0;M2;N
002650;AQA;"A1 01 B06 03";INV_GEN;"Inventaire test";014538;;0;2.06;0;M2;N
002650;AQA;"A1 01 B07 01";INV_GEN;"Inventaire test";012918;;11;1.7;11;M2;N
002650;AQA;"A1 01 B09 01";INV_GEN;"Inventaire test";004864;;1;2.075;1;M2;N
002650;AQA;"A1 01 A09 01";INV_GEN;"Inventaire test";004864;;4;2.075;4;M2;N
002650;AQA;"A1 01 A11 01";INV_GEN;"Inventaire test";004864;;0;2.075;0;M2;N
002650;AQA;"A1 01 B10 01";INV_GEN;"Inventaire test";006852;;0;1.914;0;M2;N
002650;AQA;"A1 01 B11 01";INV_GEN;"Inventaire test";009248;;0;2.376;0;M2;N
002650;AQA;"A1 01 A08 01";INV_GEN;"Inventaire test";009248;;0;2.376;0;M2;N
002650;AQA;"A1 01 B12 01";INV_GEN;"Inventaire test";012653;;0;0;0;UN;N
002650;AQA;"A1 01 A10 01";INV_GEN;"Inventaire test";012653;;0;0;0;UN;N
002650;AQA;"A1 01 B13 01";INV_GEN;"Inventaire test";012654;;0;0;0;UN;N
002650;AQA;"A1 01 C02 01";INV_GEN;"Inventaire test";003295;;34;0;34;PQT;N
002650;AQA;"A1 01 C02 02";INV_GEN;"Inventaire test";30313120;;0;0;0;PQT;N
002650;AQA;"A1 01 C06 01";INV_GEN;"Inventaire test";006698;;0;2.493;0;M2;N
002650;AQA;"A1 01 C06 03";INV_GEN;"Inventaire test";014537;;0;2.06;0;M2;N
002650;AQA;"A1 01 C07 01";INV_GEN;"Inventaire test";007957;;0;3.06;0;M2;N
002650;AQA;"A1 01 C07 03";INV_GEN;"Inventaire test";007961;;0;3.06;0;M2;N
002650;AQA;"A1 01 C08 01";INV_GEN;"Inventaire test";012872;;0;2.26;0;M2;N
002650;AQA;"A1 01 B08 01";INV_GEN;"Inventaire test";012872;;0;2.26;0;M2;N
002650;AQA;"A1 01 C09 01";INV_GEN;"Inventaire test";012873;;0;2.26;0;M2;N
002650;AQA;"A1 01 C10 01";INV_GEN;"Inventaire test";009326;;0;1.914;0;M2;N
002650;AQA;"A1 01 C11 01";INV_GEN;"Inventaire test";017017;;0;2.376;0;M2;N
002650;AQA;"A1 01 C12 01";INV_GEN;"Inventaire test";012651;;0;0;0;UN;N
002650;AQA;"A1 01 C13 01";INV_GEN;"Inventaire test";012652;;0;0;0;UN;N
002650;AQA;"A1 01 D02 01";INV_GEN;"Inventaire test";007930;;0;5;0;UN;N
002650;AQA;"A1 01 D02 02";INV_GEN;"Inventaire test";007710;;0;5;0;RL(X);N
002650;AQA;"A1 01 A04 01";INV_GEN;"Inventaire test";007710;;12.34;5;12.34;RL(X);N
002650;AQA;"A1 01 D02 03";INV_GEN;"Inventaire test";019584;;0;1;0;RL(X);N
002650;AQA;"A1 01 D05 03";INV_GEN;"Inventaire test";009244;;0;2.493;0;M2;N
002650;AQA;"A1 01 D06 02";INV_GEN;"Inventaire test";009246;;0;2.493;0;M2;N
002650;AQA;"A1 01 D06 01";INV_GEN;"Inventaire test";009246;;12.34;2.493;12.34;M2;N
002650;AQA;"A1 01 D06 03";INV_GEN;"Inventaire test";012852;;0;2.55;0;M2;N
002650;AQA;"A1 01 D07 01";INV_GEN;"Inventaire test";012860;;0;2.55;0;M2;N
002650;AQA;"A1 01 D07 03";INV_GEN;"Inventaire test";007955;;0;3.06;0;M2;N
002650;AQA;"A1 01 D08 01";INV_GEN;"Inventaire test";016006;;0;26;0;UN;N
002650;AQA;"A1 01 D09 01";INV_GEN;"Inventaire test";006807;;0;5;0;UN;N
002650;AQA;"A1 01 D10 01";INV_GEN;"Inventaire test";004529;;0;10;0;UN;N
002650;AQA;"A1 01 D11 01";INV_GEN;"Inventaire test";015528;;0;10;0;UN;N
002650;AQA;"A1 01 D12 01";INV_GEN;"Inventaire test";008641;;0;5;0;UN;N
