INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002612;AQA;AGENC;INV_GEN;"Inventaire test";003636;;0;1;0;UN;N
002612;AQA;AGENC;INV_GEN;"Inventaire test";017032;;0;0;0;UN;N
002612;AQA;AGENC;INV_GEN;"Inventaire test";014674;;0;0;0;UN;N
002612;AQA;AGENC;INV_GEN;"Inventaire test";017563;;0;1;0;UN;N
002612;AQA;AGENC;INV_GEN;"Inventaire test";015561;;0;0;0;UN;N
002612;AQA;AGENC;INV_GEN;"Inventaire test";012594;;0;0;0;UN;N
002612;AQA;AGENC;INV_GEN;"Inventaire test";003392;;0;0;0;UN;N
002612;AQA;AGENC;INV_GEN;"Inventaire test";019135;;0;0;0;UN;N
002612;AQA;AGENC;INV_GEN;"Inventaire test";019172;;0;0;0;UN;N
002612;AQA;"A1 01 A12 01";INV_GEN;"Inventaire test";012655;;12;0;12;UN;N
002612;AQA;"A1 01 A13 01";INV_GEN;"Inventaire test";012656;;0;0;0;UN;N
002612;AQA;"A1 01 B02 01";INV_GEN;"Inventaire test";008229;;200;10;200;RL(X);N
002612;AQA;"A1 01 A03 03";INV_GEN;"Inventaire test";008229;;0;10;0;RL(X);N
002612;AQA;"A1 01 B05 03";INV_GEN;"Inventaire test";009247;;23;2.493;23;M2;N
002612;AQA;"A1 01 B05 02";INV_GEN;"Inventaire test";009247;;0;2.493;0;M2;N
002612;AQA;"A1 01 B06 01";INV_GEN;"Inventaire test";006700;;0;2.493;0;M2;N
002612;AQA;"A1 01 B06 02";INV_GEN;"Inventaire test";007356;;0;2.493;0;M2;N
002612;AQA;"A1 01 B07 01";INV_GEN;"Inventaire test";012918;;0;1.7;0;M2;N
002612;AQA;"A1 01 B09 01";INV_GEN;"Inventaire test";004864;;10;2.075;10;M2;N
002612;AQA;"A1 01 A09 01";INV_GEN;"Inventaire test";004864;;20;2.075;20;M2;N
002612;AQA;"A1 01 A11 01";INV_GEN;"Inventaire test";004864;;30;2.075;30;M2;N
002612;AQA;"A1 01 B10 01";INV_GEN;"Inventaire test";006852;;0;1.914;0;M2;N
002612;AQA;"A1 01 B11 01";INV_GEN;"Inventaire test";009248;;0;2.376;0;M2;N
