INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002722;AQB;"A3 01 A2";INV_LOT;"Inventaire lot";009598;20BAA2;;0;0;M3;N
002722;AQB;"A3 01 A3";INV_LOT;"Inventaire lot";009598;20BAA2;;0;0;M3;N
002722;AQB;"A3 02 A2";INV_LOT;"Inventaire lot";009515;"24SDC268679 3,2";;0;0;M3;N
002722;AQB;"A3 03 A002";INV_LOT;"Inventaire lot";012689;"22EUR285452 4,0";;0;0;M3;N
002722;AQB;"A3 03 A002";INV_LOT;"Inventaire lot";012689;"N°1 250369 4,10";;0;0;M3;N
002722;AQB;"A3 03 A003";INV_LOT;"Inventaire lot";012688;"22EUR287834 4,7";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU 34734 5,5";1.2345;0;1.2345;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;147683;;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU 34684 6,0";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"23SDC264403 4,5";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU 39948 4,6";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;19AVE-149666;;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU34716 5,1";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU 34726 5,3";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU34679 5,7";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"22AVE157227 4,0";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU 39945 4,4";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU 34696 4,8";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU 34693 4,6";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009527;"24FAU34714 4,95";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009533;"24SDC268271 5,8";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009535;"24SDC267313 4,2";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009537;"24AVE169746 4,8";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009535;"23AVE167921 4,6";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009537;"22AVE161142 6,0";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009533;"24SDC268287 4,5";;0;0;M3;N
002722;AQB;"A3 A1 01";INV_LOT;"Inventaire lot";009533;"23SDC267479 4,5";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";009530;"24AVE171103 2,6";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";009530;"24BAR303676 3,9";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";013036;"24SDC268390 3,5";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";009526;"24AVE174024 3,0";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";009526;"24AVE173061 3,5";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";013036;"24SDC268400 3,2";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";009526;"24AVE173066 3,0";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";009526;"24AVE174014 3,0";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";013036;"24SDC268389 3,5";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";009526;"22AVE162761 3,5";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";013036;"24SDC268406 2,5";;0;0;M3;N
002722;AQB;"A3 A1 02";INV_LOT;"Inventaire lot";013036;"24FAU 2548 2,45";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU 34734 5,5";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;147683;;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU 34684 6,0";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"23SDC264403 4,5";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU 39948 4,6";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;19AVE-149666;;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU34716 5,1";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU 34726 5,3";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU34679 5,7";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"22AVE157227 4,0";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU 39945 4,4";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU 34696 4,8";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU 34693 4,6";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009527;"24FAU34714 4,95";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009530;"24AVE171103 2,6";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009530;"24BAR303676 3,9";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009529;"24AVE172172 4,6";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009529;"24BAR297628 4,0";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009525;"23AVE162248 4,5";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009529;"224307  4,1";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009529;"24TOL 26660 4,6";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009529;"23AVE169757 4,4";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009528;"24FAU 39953 3,9";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009531;"24FAU 2540 4,2";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009531;"23AVE167086 4,0";;0;0;M3;N
002722;AQB;"A3 A1 03";INV_LOT;"Inventaire lot";009528;"24FAU 39936 3,9";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";012688;"22EUR287834 4,7";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010018;"24FAU40788 5,4";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010015;"23EUR317322 5,0";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010015;"24BAR295885 5,2";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010018;"24FAU40792 4,1";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010018;"24FA999028 5,05";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010015;"24EUR308706 4,8";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010018;"24FAU40864 4,2";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010018;"24FAU999027 5,6";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010017;"23EUR311804 4,3";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";012692;"23EUR299410 4,0";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";012686;"19FA10406 5,15";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";012690;"24BAR296602 5,7";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";012692;"250369 4,10";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010012;"23EUR297425 5,1";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010017;"23EUR311052 6,0";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";012690;"23R19090441 4,4";;0;0;M3;N
002722;AQB;"A3 A1 04";INV_LOT;"Inventaire lot";010012;"23EUR290408 4,4";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015938;"24SDC268668 4,2";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015938;"24SDC268666 4,6";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015938;"24SDC268667 4,3";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015937;"24SDC268670 4,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009510;"24SDC268675 2,7";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009511;"24SDC268669 3,1";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009510;"24SDC268673 3,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009510;"24SDC268677 2,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009510;"24SDC268672 3,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009511;"24TOL324303 2,6";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009510;"24SDC268671 3,3";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009510;"24SDC268678 2,2";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009510;"24SDC268674 2,8";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009513;"24SDC269305 3,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015940;"24SDC268663 4,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009514;"24BAR283508 3,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009513;"24SDC269306 3,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015939;"22GRZ268363 4,6";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015939;"22GRZ289038 4,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015940;"22TOL321742 4,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015939;"22GRZ289026 4,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009513;"24SDC268665 2,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009514;"24SDC268660 3,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009514;"24SDC268661 3,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009513;"24TO325681 2,35";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015940;"24SDC269252 4,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015940;"24SDC268662 4,6";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015939;"22TOL321751 4,8";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009513;"24SDC268664 3,3";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015940;"24SDC269253 4,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015939;"22GRZ268338 4,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015939;24SDC266436-4,5;;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009513;"24SDC269307 3,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015939;"22GRZ289034 4,2";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24SDC268658 4,1";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";009516;"22GRZ278770 3,7";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24SDC268656 4,5";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24SDC268659 4,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015943;"22GRZ278772 4,6";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"23SDC266406 4,6";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24SDC268655 4,9";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24BAR304690 4,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";020990;"24SDC268680 6,0";;1;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24BAR304530 5,0";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24SDC268657 4,3";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24SDC268653 6,2";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015942;"24BAR258568 4,8";;0;0;M3;N
002722;AQB;"A3 A2 01";INV_LOT;"Inventaire lot";015941;"24SDC268654 5,8";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";012693;"24BAR297531 2,7";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";009517;"24BAR297882 2,5";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";009517;"24BAR303869 3,1";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";009517;"24BAR295371 3,1";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";009517;"23R23030052 3,8";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";009521;"24FAU40829 3,15";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";009521;"24BAR303774 2,2";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";012691;"24BAR297788 3,0";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";012691;"24BAR303655 2,5";;0;0;M3;N
002722;AQB;"A3 A2 02";INV_LOT;"Inventaire lot";012691;"23R22110566 2,9";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";015991;"24BAR304738 2,5";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";015991;"23TOL322763 2,6";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";015991;24BAR287525;;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009517;"24BAR297882 2,5";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009517;"24BAR303869 3,1";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009517;"24BAR295371 3,1";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009517;"23R23030052 3,8";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009518;"23EUR303125 2,6";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009518;"23EUR316864 3,5";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009518;"22EUR305498 2,6";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009518;"23R22110225 3,5";;0;0;M3;N
002722;AQB;"A3 A2 03";INV_LOT;"Inventaire lot";009518;"23R22100552 2,8";;0;0;M3;N
