INSNO;INSDP;INSBO;INSID;INLIE;INSAR;INSLO;INVSN;INVSC;INSQS;INSUS;INVL1
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"18FA2061 3,1";;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;19FA6311;;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"18FA1724 3,5LG";;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"23R19110538 2,9";0.444;0;0.444;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"18FA6794 3,30";;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"24BAR288768 3,4";0.674;0;0.674;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"24BAR288779 4,6";0.697;0;0.697;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"18FA6796 2,70";;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"18FA3899 3,2LG";;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"22EUR232597 3,9";;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"22EUR232357 4,0";;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"24BAR288776 4,2";0.764;0;0.764;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"22EUR232588 3,8";;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;2061;;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;3895;;0;0;M3;N
002685;AQB;"C2 01 A001";INV_LOT;"Inventaire test lot";008670;"22EUR253199 3,8";;0;0;M3;N
