INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002605;AQB;"A1 01 A001";INV_GEN;"Inventaire test";015724;;0;0;;UN;N
002605;AQB;"A1 01 A001";INV_GEN;"Inventaire test";011420;;0;0;;UN;N
002605;AQB;"A1 01 A001";INV_GEN;"Inventaire test";013623;;0;0;;UN;N
002605;AQB;"A1 01 A001";INV_GEN;"Inventaire test";012361;;0;0;;UN;N
002605;AQB;"A1 01 A001";INV_GEN;"Inventaire test";011223;;0;0;;UN;N
002605;AQB;"A1 02 A001";INV_GEN;"Inventaire test";012376;;0;0;;UN;N
002605;AQB;"A1 02 A002";INV_GEN;"Inventaire test";012376;;0;0;;UN;N
002605;AQB;"A1 02 B003";INV_GEN;"Inventaire test";007542;;0;0;;UN;N
002605;AQB;"A1 02 C001";INV_GEN;"Inventaire test";000223;;0;0;;UN;N
002605;AQB;"A1 02 C003";INV_GEN;"Inventaire test";003165;;0;0;;UN;N
002605;AQB;"A1 02 D001";INV_GEN;"Inventaire test";000224;;0;0;;UN;N
002605;AQB;"A1 02 D001";INV_GEN;"Inventaire test";002383;;0;0;;UN;N
002605;AQB;"A1 02 D002";INV_GEN;"Inventaire test";000227;;0;0;;UN;N
002605;AQB;"A1 02 D003";INV_GEN;"Inventaire test";003272;;0;0;;UN;N
002605;AQB;"A1 02 E001";INV_GEN;"Inventaire test";002383;;0;0;;UN;N
002605;AQB;"A1 02 E002";INV_GEN;"Inventaire test";000228;;0;0;;UN;N
002605;AQB;"A1 02 E003";INV_GEN;"Inventaire test";002958;;0;0;;UN;N
002605;AQB;"A1 03 A001";INV_GEN;"Inventaire test";014795;;0;0;;UN;N
002605;AQB;"A1 03 A002";INV_GEN;"Inventaire test";014794;;0;0;;UN;N
002605;AQB;"A1 03 A003";INV_GEN;"Inventaire test";014793;;0;0;;UN;N
002605;AQB;"A1 03 A004";INV_GEN;"Inventaire test";014793;;0;0;;UN;N
002605;AQB;"A1 03 B001";INV_GEN;"Inventaire test";010856;;0;0;;UN;N
002605;AQB;"A1 03 B002";INV_GEN;"Inventaire test";016155;;0;0;;UN;N
002605;AQB;"A1 03 C001";INV_GEN;"Inventaire test";016176;;0;0;;UN;N
002605;AQB;"A1 03 C001";INV_GEN;"Inventaire test";013953;;0;0;;UN;N
002605;AQB;"A1 03 C002";INV_GEN;"Inventaire test";010175;;0;0;;UN;N
002605;AQB;"A1 03 D001";INV_GEN;"Inventaire test";004506;;0;0;;UN;N
002605;AQB;"A1 03 D002";INV_GEN;"Inventaire test";016156;;0;0;;UN;N
002605;AQB;"A1 03 E001";INV_GEN;"Inventaire test";003484;;0;0;;UN;N
002605;AQB;"A1 03 E002";INV_GEN;"Inventaire test";003336;;0;0;;UN;N
002605;AQB;"A1 03 E003";INV_GEN;"Inventaire test";012027;;0;0;;UN;N
002605;AQB;"A1 04 A001";INV_GEN;"Inventaire test";010870;;0;0;7777777;UN;N
002605;AQB;"A1 04 A002";INV_GEN;"Inventaire test";010870;;0;0;;UN;N
002605;AQB;"A1 04 A002";INV_GEN;"Inventaire test";016578;;0;0;;UN;N
002605;AQB;"A1 04 B001";INV_GEN;"Inventaire test";004872;;0;0;;UN;N
002605;AQB;"A1 04 B002";INV_GEN;"Inventaire test";010869;;0;0;;UN;N
002605;AQB;"A1 04 C001";INV_GEN;"Inventaire test";005670;;0;0;;UN;N
002605;AQB;"A1 04 C002";INV_GEN;"Inventaire test";010814;;0;0;;UN;N
002605;AQB;"A1 04 D001";INV_GEN;"Inventaire test";004869;;0;0;;UN;N
002605;AQB;"A1 04 D002";INV_GEN;"Inventaire test";015609;;0;0;;UN;N
002605;AQB;"A1 04 D002";INV_GEN;"Inventaire test";004873;;0;0;;UN;N
002605;AQB;"A1 04 E001";INV_GEN;"Inventaire test";004870;;0;0;;UN;N
002605;AQB;"A1 04 E002";INV_GEN;"Inventaire test";005672;;0;0;;UN;N
002605;AQB;"A1 05 A001";INV_GEN;"Inventaire test";005671;;0;0;;UN;N
002605;AQB;"A1 05 A002";INV_GEN;"Inventaire test";010173;;0;0;;UN;N
002605;AQB;"A1 05 B001";INV_GEN;"Inventaire test";014532;;0;0;;UN;N
002605;AQB;"A1 05 B002";INV_GEN;"Inventaire test";016577;;0;0;;UN;N
002605;AQB;"A1 05 B003";INV_GEN;"Inventaire test";015990;;0;0;;UN;N
002605;AQB;"A1 05 C001";INV_GEN;"Inventaire test";013666;;0;0;;UN;N
002605;AQB;"A1 05 C002";INV_GEN;"Inventaire test";010471;;0;0;;UN;N
002605;AQB;"A1 05 C003";INV_GEN;"Inventaire test";010813;;0;0;;UN;N
002605;AQB;"A1 05 D001";INV_GEN;"Inventaire test";004867;;0;0;;UN;N
002605;AQB;"A1 05 D002";INV_GEN;"Inventaire test";004868;;0;0;;UN;N
002605;AQB;"A1 05 E001";INV_GEN;"Inventaire test";005669;;0;0;;UN;N
002605;AQB;"A1 05 E002";INV_GEN;"Inventaire test";017541;;0;0;;UN;N
002605;AQB;"A1 05 E003";INV_GEN;"Inventaire test";010176;;0;0;;UN;N
002605;AQB;"A1 06 A001";INV_GEN;"Inventaire test";004871;;0;0;;UN;N
002605;AQB;"A1 06 A002";INV_GEN;"Inventaire test";017136;;0;0;;UN;N
002605;AQB;"A1 06 A002";INV_GEN;"Inventaire test";017105;;0;0;;UN;N
002605;AQB;"A1 06 A002";INV_GEN;"Inventaire test";015683;;0;0;;UN;N
002605;AQB;"A1 06 B002";INV_GEN;"Inventaire test";008621;;0;0;;UN;N
002605;AQB;"A1 06 C001";INV_GEN;"Inventaire test";015789;;0;0;;UN;N
002605;AQB;"A1 06 C002";INV_GEN;"Inventaire test";014469;;0;0;;UN;N
002605;AQB;"A1 06 C002";INV_GEN;"Inventaire test";014478;;0;0;;UN;N
002605;AQB;"A1 06 C002";INV_GEN;"Inventaire test";013621;;0;0;;UN;N
002605;AQB;"A1 06 C002";INV_GEN;"Inventaire test";014467;;0;0;;UN;N
002605;AQB;"A1 06 D001";INV_GEN;"Inventaire test";004650;;0;0;;UN;N
002605;AQB;"A1 06 D002";INV_GEN;"Inventaire test";010858;;0;0;;UN;N
002605;AQB;"A1 06 E001";INV_GEN;"Inventaire test";003686;;0;0;;UN;N
002605;AQB;"A1 06 E002";INV_GEN;"Inventaire test";22590020;;0;0;;UN;N
002605;AQB;"A1 06 E003";INV_GEN;"Inventaire test";22590026;;0;0;;UN;N
002605;AQB;"A1 07 A001";INV_GEN;"Inventaire test";22021134;;0;0;;UN;N
002605;AQB;"A1 07 A001";INV_GEN;"Inventaire test";015721;;0;0;;UN;N
002605;AQB;"A1 07 A001";INV_GEN;"Inventaire test";22020619;;0;0;;UN;N
002605;AQB;"A1 07 A002";INV_GEN;"Inventaire test";015683;;0;0;;UN;N
002605;AQB;"A1 07 A003";INV_GEN;"Inventaire test";22020913;;0;0;;UN;N
002605;AQB;"A1 07 A003";INV_GEN;"Inventaire test";22020931;;0;0;;UN;N
002605;AQB;"A1 07 A003";INV_GEN;"Inventaire test";22021431;;0;0;;UN;N
002605;AQB;"A1 07 B002";INV_GEN;"Inventaire test";22020225;;0;0;;UN;N
002605;AQB;"A1 07 B003";INV_GEN;"Inventaire test";016163;;0;0;;UN;N
002605;AQB;"A1 07 B004";INV_GEN;"Inventaire test";22021416;;0;0;;UN;N
002605;AQB;"A1 07 B004";INV_GEN;"Inventaire test";22020428;;0;0;;UN;N
002605;AQB;"A1 07 C001";INV_GEN;"Inventaire test";22020916;;0;0;;UN;N
002605;AQB;"A1 07 C002";INV_GEN;"Inventaire test";008964;;0;0;;UN;N
002605;AQB;"A1 07 C003";INV_GEN;"Inventaire test";22021531;;0;0;;UN;N
002605;AQB;"A1 07 C004";INV_GEN;"Inventaire test";22021534;;0;0;;UN;N
002605;AQB;"A1 07 C004";INV_GEN;"Inventaire test";015949;;0;0;;UN;N
002605;AQB;"A1 07 D001";INV_GEN;"Inventaire test";000442;;0;0;;UN;N
002605;AQB;"A1 07 D002";INV_GEN;"Inventaire test";22020910;;0;0;;UN;N
002605;AQB;"A1 07 D003";INV_GEN;"Inventaire test";22020937;;0;0;;UN;N
002605;AQB;"A1 07 D003";INV_GEN;"Inventaire test";015681;;0;0;;UN;N
002605;AQB;"A1 07 E001";INV_GEN;"Inventaire test";22590025;;0;0;;UN;N
002605;AQB;"A1 07 E002";INV_GEN;"Inventaire test";003311;;0;0;;UN;N
002605;AQB;"A1 07 E003";INV_GEN;"Inventaire test";003810;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";22021434;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";22020925;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";22020928;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";22021234;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";22021527;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";013924;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";22021728;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";22021725;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";000519;;0;0;;UN;N
002605;AQB;"A1 08 A001";INV_GEN;"Inventaire test";22020628;;0;0;;UN;N
002605;AQB;"A1 08 A002";INV_GEN;"Inventaire test";016578;;0;0;;UN;N
002605;AQB;"A1 08 A002";INV_GEN;"Inventaire test";010528;;0;0;;UN;N
002605;AQB;"A1 08 A002";INV_GEN;"Inventaire test";010180;;0;0;;UN;N
002605;AQB;"A1 08 A002";INV_GEN;"Inventaire test";011705;;0;0;;UN;N
002605;AQB;"A1 08 A002";INV_GEN;"Inventaire test";015935;;0;0;;UN;N
002605;AQB;"A2 01 A001";INV_GEN;"Inventaire test";003682;;0;0;;UN;N
002605;AQB;"A2 01 A002";INV_GEN;"Inventaire test";010340;;0;0;;UN;N
002605;AQB;"A2 01 A003";INV_GEN;"Inventaire test";010439;;0;0;;UN;N
002605;AQB;"A2 01 B001";INV_GEN;"Inventaire test";000434;;0;0;;UN;N
002605;AQB;"A2 01 B002";INV_GEN;"Inventaire test";010341;;0;0;;UN;N
002605;AQB;"A2 01 C001";INV_GEN;"Inventaire test";016337;;0;0;;UN;N
002605;AQB;"A2 01 C002";INV_GEN;"Inventaire test";008152;;0;0;;UN;N
002605;AQB;"A2 01 D001";INV_GEN;"Inventaire test";004525;;0;0;;UN;N
002605;AQB;"A2 01 D002";INV_GEN;"Inventaire test";22120047;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";003272;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";010870;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";010869;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";004870;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";010181;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";004867;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";004868;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";010528;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";011568;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";011607;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";010524;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";010184;;0;0;;UN;N
002605;AQB;"A2 02 A001";INV_GEN;"Inventaire test";010183;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";011533;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";011573;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";011707;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";011568;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";011571;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";011532;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";009492;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";009508;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";010753;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";009509;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";011559;;0;0;;UN;N
002605;AQB;"A2 02 A002";INV_GEN;"Inventaire test";011560;;0;0;;UN;N
002605;AQB;"A2 02 A004";INV_GEN;"Inventaire test";011574;;0;0;;UN;N
002605;AQB;"A2 02 A004";INV_GEN;"Inventaire test";011607;;0;0;;UN;N
002605;AQB;"A2 02 A004";INV_GEN;"Inventaire test";010524;;0;0;;UN;N
