TOURCODE;DELIVERYDATE;LIMITDATE
N;2024-08-29;"2024-08-28 08:00:00.000000"
N;2024-09-02;"2024-08-30 08:00:00.000000"
N;2024-09-04;"2024-09-03 08:00:00.000000"
N;2024-09-06;"2024-09-05 08:00:00.000000"
N;2024-09-10;"2024-09-09 08:00:00.000000"
N;2024-09-12;"2024-09-11 08:00:00.000000"
N;2024-09-16;"2024-09-13 08:00:00.000000"
N;2024-09-18;"2024-09-17 08:00:00.000000"
N;2024-09-20;"2024-09-19 08:00:00.000000"
N;2024-09-24;"2024-09-23 08:00:00.000000"
N;2024-09-26;"2024-09-25 08:00:00.000000"
N;2024-09-30;"2024-09-27 08:00:00.000000"
N;2024-10-02;"2024-10-01 08:00:00.000000"
N;2024-10-04;"2024-10-03 08:00:00.000000"
N;2024-10-08;"2024-10-07 08:00:00.000000"
N;2024-10-10;"2024-10-09 08:00:00.000000"
N;2024-10-14;"2024-10-11 08:00:00.000000"
N;2024-10-16;"2024-10-15 08:00:00.000000"
N;2024-10-18;"2024-10-17 08:00:00.000000"
N;2024-10-22;"2024-10-21 08:00:00.000000"
N;2024-10-24;"2024-10-23 08:00:00.000000"
N;2024-10-28;"2024-10-25 08:00:00.000000"
N;2024-10-30;"2024-10-29 08:00:00.000000"
N;2024-11-05;"2024-11-04 08:00:00.000000"
N;2024-11-07;"2024-11-06 08:00:00.000000"
N;2024-11-12;"2024-11-08 08:00:00.000000"
N;2024-11-14;"2024-11-13 08:00:00.000000"
N;2024-11-18;"2024-11-15 08:00:00.000000"
N;2024-11-20;"2024-11-19 08:00:00.000000"
N;2024-11-22;"2024-11-21 08:00:00.000000"
N;2024-11-26;"2024-11-25 08:00:00.000000"
N;2024-11-28;"2024-11-27 08:00:00.000000"
N;2024-12-02;"2024-11-29 08:00:00.000000"
N;2024-12-04;"2024-12-03 08:00:00.000000"
N;2024-12-06;"2024-12-05 08:00:00.000000"
N;2024-12-10;"2024-12-09 08:00:00.000000"
N;2024-12-12;"2024-12-11 08:00:00.000000"
N;2024-12-16;"2024-12-13 08:00:00.000000"
N;2024-12-18;"2024-12-17 08:00:00.000000"
N;2024-12-20;"2024-12-19 08:00:00.000000"
N;2025-01-03;"2025-01-02 08:00:00.000000"
S;2024-08-28;"2024-08-27 08:00:00.000000"
S;2024-08-30;"2024-08-29 08:00:00.000000"
S;2024-09-03;"2024-09-02 08:00:00.000000"
S;2024-09-05;"2024-09-04 08:00:00.000000"
S;2024-09-09;"2024-09-06 08:00:00.000000"
S;2024-09-11;"2024-09-10 08:00:00.000000"
S;2024-09-13;"2024-09-12 08:00:00.000000"
S;2024-09-17;"2024-09-16 08:00:00.000000"
S;2024-09-19;"2024-09-18 08:00:00.000000"
S;2024-09-23;"2024-09-20 08:00:00.000000"
S;2024-09-25;"2024-09-24 08:00:00.000000"
S;2024-09-27;"2024-09-26 08:00:00.000000"
S;2024-10-01;"2024-09-27 08:00:00.000000"
S;2024-10-03;"2024-10-02 08:00:00.000000"
S;2024-10-07;"2024-10-04 08:00:00.000000"
S;2024-10-09;"2024-10-08 08:00:00.000000"
S;2024-10-11;"2024-10-10 08:00:00.000000"
S;2024-10-15;"2024-10-14 08:00:00.000000"
S;2024-10-17;"2024-10-16 08:00:00.000000"
S;2024-10-21;"2024-10-18 08:00:00.000000"
S;2024-10-23;"2024-10-22 08:00:00.000000"
S;2024-10-25;"2024-10-24 08:00:00.000000"
S;2024-10-29;"2024-10-28 08:00:00.000000"
S;2024-10-31;"2024-10-30 08:00:00.000000"
S;2024-11-04;"2024-10-31 08:00:00.000000"
S;2024-11-06;"2024-11-05 08:00:00.000000"
S;2024-11-08;"2024-11-07 08:00:00.000000"
S;2024-11-13;"2024-11-12 08:00:00.000000"
S;2024-11-15;"2024-11-14 08:00:00.000000"
S;2024-11-19;"2024-11-18 08:00:00.000000"
S;2024-11-21;"2024-11-20 08:00:00.000000"
S;2024-11-25;"2024-11-22 08:00:00.000000"
S;2024-11-27;"2024-11-26 08:00:00.000000"
S;2024-11-29;"2024-11-28 08:00:00.000000"
S;2024-12-03;"2024-12-02 08:00:00.000000"
S;2024-12-05;"2024-12-04 08:00:00.000000"
S;2024-12-09;"2024-12-06 08:00:00.000000"
S;2024-12-11;"2024-12-10 08:00:00.000000"
S;2024-12-13;"2024-12-12 08:00:00.000000"
S;2024-12-17;"2024-12-16 08:00:00.000000"
S;2024-12-19;"2024-12-18 08:00:00.000000"
S;2025-01-02;"2024-12-24 08:00:00.000000"
